,BAL,BOS,NYY,TBR,TOR,CLE,CHW,DET,KCR,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WSH,CHC,CIN,MIL,PIT,STL,ARI,COL,LAD,SDP,SFG
2024-03-20,0.40376800000032115,0.40019200000031757,0.40178800000031917,0.40126000000031864,0.4004480000003178,0.4011320000003185,0.4011320000003185,0.40155200000031893,0.40166000000031904,0.40478000000032216,0.4028360000003202,0.38657600000030395,0.4028000000003202,0.38547200000030285,0.404604,0.331652,0.36039600000027777,0.34706400000026444,0.3613200000002787,0.3613040000002787,0.36377200000028115,0.3476,0.3338240000002512,0.3620440000002794,0.33189200000024927,0.16639600000008378,0.16707200000008446,1.0000000000009173,1.0000000000009173,0.16566400000008305
2024-03-21,0.40028800000031767,0.40267600000032006,0.4036960000003211,0.4007000000003181,0.40236800000031975,0.4018000000003192,0.4008320000003182,0.400596,0.4015480000003189,0.4038360000003212,0.40189200000031927,0.3860400000003034,0.4031400000003205,0.38808800000030547,0.4025000000003199,0.3322280000002496,0.36125200000027863,0.3460400000002634,0.3602440000002776,0.3604160000002778,0.3631160000002805,0.34777600000026515,0.3331080000002505,0.36246000000027984,0.33448000000025185,0.16616400000008355,0.1659000000000833,1.0000000000009173,1.0000000000009173,0.1668160000000842
2024-03-28,0.4373240000003547,0.4309120000003483,0.4283920000003458,0.34856800000026594,0.43915200000035653,0.443616,0.34986400000026724,0.4419200000003593,0.3507280000002681,0.44085600000035824,0.3687360000002861,0.35909200000027647,0.3564440000002738,0.36735200000028473,0.4370440000003544,0.4519200000003693,0.3744200000002918,0.36556800000028294,0.36725200000028463,0.36437600000028175,0.3684320000002858,0.44916400000036655,0.4481280000003655,0.4351240000003525,0.3305160000002479,0.4503080000003677,0.35625600000027363,0.44408400000036147,0.43817600000035556,0.35627600000027365
2024-03-29,0.43686800000035425,0.3977360000003151,0.4770920000003945,0.3925360000003099,0.3909240000003083,0.4820320000003994,0.34777200000026515,0.44117200000035856,0.3507400000002681,0.4387920000003562,0.3242400000002416,0.3609160000002783,0.31936800000023674,0.4001200000003175,0.4396920000003571,0.45168000000036906,0.3344400000002518,0.3648960000002823,0.364628,0.3642480000002816,0.36628800000028366,0.4457000000003631,0.44416000000036154,0.4811880000003986,0.29566000000021303,0.4937320000004111,0.31029200000022766,0.47664,0.3920400000003094,0.4144080000003318
2024-03-30,0.4760080000003934,0.3545000000002719,0.5094720000004268,0.428608,0.34275600000026013,0.5230200000004404,0.32028000000023765,0.45776000000037514,0.3027560000002201,0.4800040000003974,0.28708000000020445,0.3170480000002344,0.276608,0.43345200000035083,0.49064800000040804,0.4992280000004166,0.2967560000002141,0.34018400000025756,0.32636800000024374,0.3994280000003168,0.319636,0.4135400000003309,0.4767360000003941,0.52872,0.33518800000025256,0.4607880000003782,0.3429480000002603,0.4472320000003646,0.3572120000002746,0.4560360000003734
2024-03-31,0.44926400000036665,0.4023200000003197,0.5469640000004643,0.3772280000002946,0.3939120000003113,0.49818000000041557,0.29087600000020825,0.49776000000041515,0.37768400000029506,0.40456000000032194,0.2617400000001791,0.34764,0.3042200000002216,0.3900080000003074,0.45764400000037503,0.47487600000039226,0.27020000000018757,0.3013520000002187,0.35467600000027205,0.36838000000028576,0.3501320000002675,0.44326400000036065,0.512692,0.5561800000004735,0.2969200000002143,0.501648,0.29940000000021677,0.4800120000003974,0.4042200000003216,0.3860480000003034
2024-04-01,0.47887600000039626,0.4608360000003782,0.5842840000005016,0.32506800000024244,0.3282080000002456,0.46294800000038033,0.23787600000015527,0.5483440000004657,0.3338280000002512,0.40205200000031943,0.3084440000002258,0.3643200000002817,0.2522160000001696,0.4143280000003317,0.49837200000041576,0.5348480000004522,0.24135200000015875,0.2653440000001827,0.32407200000024144,0.3342440000002516,0.39247600000030985,0.4792920000003967,0.5101440000004275,0.5839720000005013,0.3409080000002583,0.47426000000039165,0.272656,0.531672,0.3691040000002865,0.34565600000026303
2024-04-02,0.4429200000003603,0.4929360000004103,0.5282360000004456,0.35897600000027635,0.35628000000027366,0.4997840000004172,0.2551240000001725,0.5850360000005024,0.37056400000028794,0.3609400000002783,0.27950000000019687,0.4028320000003202,0.22674800000014414,0.3752200000002926,0.4649040000003823,0.5097480000004271,0.2100160000001274,0.2324040000001498,0.3628280000002802,0.33688800000025426,0.44638800000036377,0.431636,0.5450680000004624,0.5785920000004959,0.37999200000029737,0.5247760000004421,0.2350000000001524,0.5619800000004793,0.3308360000002482,0.3138480000002312
2024-04-03,0.4728200000003902,0.5282560000004456,0.5582280000004756,0.31216000000022953,0.296628,0.5433600000004607,0.2500160000001674,0.5444040000004617,0.32676000000024413,0.4004280000003178,0.32616000000024353,0.44945200000036684,0.18678400000010417,0.3091240000002265,0.4954200000004128,0.5140320000004314,0.18126800000009866,0.2608080000001782,0.331652,0.3753120000002927,0.48648000000040387,0.4787280000003961,0.5004040000004177,0.5550520000004724,0.35116800000026854,0.49557600000041296,0.21206400000012945,0.6040280000005214,0.36767600000028505,0.2857520000002031
2024-04-04,0.475616,0.5299480000004473,0.5585840000004759,0.3125120000002299,0.29660000000021397,0.5643640000004817,0.19895600000011635,0.5449840000004623,0.38779200000030517,0.3632440000002806,0.32775600000024513,0.44856800000036595,0.1869040000001043,0.30847600000022585,0.4956960000004131,0.5192360000004366,0.1573120000000747,0.262624,0.3318400000002492,0.3402160000002576,0.47964400000039703,0.4742280000003916,0.4968880000004143,0.5893800000005067,0.39158400000030896,0.49386800000041126,0.2098120000001272,0.6018080000005191,0.36668000000028406,0.28488000000020225
