BAL,2,1,0.4219920000003394,0
BOS,1,2,0.36498800000028236,1
NYY,3,0,0.5317960000004491,12
TBR,1,2,0.36286400000028024,1
TOR,3,0,0.49954800000041694,5
CLE,2,1,0.4317280000003491,-1
CHW,0,3,0.28519600000020257,-19
DET,2,1,0.4610880000003785,6
KCR,1,2,0.3458240000002632,-7
MIN,1,2,0.373628000000291,0
HOU,2,2,0.3948000000003122,-3
LAA,2,2,0.4058280000003232,3
ATH,0,3,0.2991120000002165,-5
SEA,1,2,0.37698400000029436,1
TEX,2,1,0.444624000000362,4
ATL,2,1,0.4499200000003673,7
MIA,3,0,0.49874000000041613,3
NYM,2,1,0.4351120000003525,5
PHI,1,2,0.3483120000002657,-4
WSH,2,1,0.4238360000003412,1
CHC,1,2,0.36107200000027845,-1
CIN,2,1,0.41896800000033635,-1
MIL,3,0,0.525644000000443,19
PIT,1,2,0.34908800000026646,-5
STL,2,1,0.4227040000003401,-1
ARI,0,3,0.2950480000002124,-8
COL,0,3,0.3055080000002229,-3
LAD,3,0,0.5343200000004517,8
SDP,1,2,0.35408000000027146,-6
SFG,0,3,0.277648000000195,-12
